date,data
31.08.2022,189.44
01.09.2022,189.44
02.09.2022,189.63
03.09.2022,179.79
04.09.2022,179.79
05.09.2022,183.97
06.09.2022,185.02
07.09.2022,185.02
08.09.2022,183.46
09.09.2022,181.01
10.09.2022,178.38
11.09.2022,178.39
12.09.2022,177.88
13.09.2022,177.87
14.09.2022,177.21
15.09.2022,178.56
16.09.2022,178.87
17.09.2022,179.06
18.09.2022,179.06
19.09.2022,177.17
20.09.2022,178.13
21.09.2022,177.76
22.09.2022,178
23.09.2022,175.85
24.09.2022,175.15
25.09.2022,175.59
26.09.2022,175.96
27.09.2022,176.72
28.09.2022,177.46
29.09.2022,177.29
30.09.2022,176.87
01.10.2022,176.25
02.10.2022,176.3
03.10.2022,177.45
04.10.2022,181.24
05.10.2022,182.02
06.10.2022,183.19
07.10.2022,184.48
08.10.2022,183.42
09.10.2022,182.71
10.10.2022,183.1
11.10.2022,182.35
12.10.2022,182.88
13.10.2022,181.46
14.10.2022,183.05
15.10.2022,183.21
16.10.2022,183.61
17.10.2022,183.42
18.10.2022,182.35
19.10.2022,183.13
20.10.2022,184.06
21.10.2022,182.94
22.10.2022,182.42
23.10.2022,183.81
24.10.2022,183.87
25.10.2022,184.03
26.10.2022,184.56
27.10.2022,186.17
28.10.2022,186.9
29.10.2022,187.29
30.10.2022,186.89
31.10.2022,185.82
01.11.2022,183.66
02.11.2022,184.68
03.11.2022,182.54
04.11.2022,181.97
05.11.2022,182.74
06.11.2022,183.05
07.11.2022,180.57
08.11.2022,181.99
09.11.2022,181.83
10.11.2022,182
11.11.2022,181.61
12.11.2022,181.39
13.11.2022,180.64
14.11.2022,180.32
15.11.2022,180.81
16.11.2022,180.69
17.11.2022,181.04
18.11.2022,181.96
19.11.2022,181.63
20.11.2022,182.84
21.11.2022,172.78
22.11.2022,171.18
23.11.2022,171.51
24.11.2022,171.55
25.11.2022,169.78
26.11.2022,168.71
27.11.2022,168.93
28.11.2022,168.97
